timestamp,product_id,category,base_price,competitor_price,inventory,inventory_ratio,day_of_week,is_weekend,month,is_holiday,demand,historical_sales_7d,historical_sales_30d
2023-01-01 00:00:00,P0103,Groceries,3084.61,3447.27,206,0.412,6,1,1,0,92,101,352
2023-01-01 01:00:00,P0180,Electronics,3159.98,2876.69,470,0.94,6,1,1,0,90,100,374
2023-01-01 02:00:00,P0093,Books,3683.83,3695.66,101,0.202,6,1,1,0,87,90,325
2023-01-01 03:00:00,P0015,Books,3123.33,3203.32,432,0.864,6,1,1,0,97,91,424
2023-01-01 04:00:00,P0107,Books,4847.75,5706.98,385,0.77,6,1,1,0,89,80,321
2023-01-01 05:00:00,P0072,Books,1026.58,930.74,193,0.386,6,1,1,0,132,132,500
2023-01-01 06:00:00,P0189,Clothing,4757.9,5588.99,240,0.48,6,1,1,0,73,64,302
2023-01-01 07:00:00,P0021,Groceries,2714.78,3045.83,146,0.292,6,1,1,0,93,104,398
2023-01-01 08:00:00,P0103,Books,3376.18,3688.0,452,0.904,6,1,1,0,86,85,378
2023-01-01 09:00:00,P0122,Books,542.33,604.56,131,0.262,6,1,1,0,106,118,396
2023-01-01 10:00:00,P0075,Furniture,1933.85,2015.4,219,0.438,6,1,1,0,118,125,454
2023-01-01 11:00:00,P0088,Groceries,3858.43,3463.45,337,0.674,6,1,1,0,90,100,388
2023-01-01 12:00:00,P0117,Electronics,3549.21,3108.39,103,0.206,6,1,1,0,94,105,341
2023-01-01 13:00:00,P0100,Groceries,248.69,285.13,40,0.08,6,1,1,0,130,113,544
2023-01-01 14:00:00,P0104,Groceries,2755.64,3003.8,55,0.11,6,1,1,0,104,111,410
2023-01-01 15:00:00,P0152,Groceries,486.98,431.11,310,0.62,6,1,1,0,137,126,569
2023-01-01 16:00:00,P0131,Books,4979.49,5208.73,249,0.498,6,1,1,0,73,84,293
2023-01-01 17:00:00,P0150,Books,4491.62,4397.38,241,0.482,6,1,1,1,72,78,295
2023-01-01 18:00:00,P0053,Clothing,154.35,133.28,414,0.828,6,1,1,0,108,92,446
2023-01-01 19:00:00,P0002,Electronics,4300.32,4355.12,126,0.252,6,1,1,0,95,107,390
2023-01-01 20:00:00,P0088,Furniture,4601.18,4199.07,149,0.298,6,1,1,0,75,70,310
2023-01-01 21:00:00,P0158,Groceries,1800.06,1509.35,330,0.66,6,1,1,1,118,115,478
2023-01-01 22:00:00,P0038,Electronics,3611.53,3563.8,431,0.862,6,1,1,0,82,85,342
2023-01-01 23:00:00,P0130,Electronics,2238.41,2319.09,335,0.67,6,1,1,0,83,93,350
2023-01-02 00:00:00,P0192,Clothing,3293.4,2696.51,383,0.766,0,0,1,0,83,94,351
2023-01-02 01:00:00,P0188,Furniture,1734.57,1666.64,387,0.774,0,0,1,1,88,90,377
2023-01-02 02:00:00,P0021,Groceries,1646.67,1487.05,148,0.296,0,0,1,0,103,97,397
2023-01-02 03:00:00,P0161,Furniture,2150.95,1747.13,168,0.336,0,0,1,0,88,82,369
2023-01-02 04:00:00,P0058,Clothing,770.56,655.18,44,0.088,0,0,1,0,125,120,545
2023-01-02 05:00:00,P0022,Books,4164.14,3562.9,472,0.944,0,0,1,0,70,63,273
2023-01-02 06:00:00,P0089,Electronics,1776.05,1550.76,83,0.166,0,0,1,0,122,128,515
2023-01-02 07:00:00,P0049,Groceries,2030.74,2277.17,7,0.014,0,0,1,0,107,108,410
2023-01-02 08:00:00,P0059,Books,4475.57,4367.25,106,0.212,0,0,1,0,73,79,273
2023-01-02 09:00:00,P0170,Clothing,2508.29,2154.21,372,0.744,0,0,1,0,77,68,305
2023-01-02 10:00:00,P0188,Furniture,2744.06,2305.34,264,0.528,0,0,1,0,73,71,310
2023-01-02 11:00:00,P0015,Electronics,4784.67,4397.95,145,0.29,0,0,1,1,70,65,269
2023-01-02 12:00:00,P0190,Groceries,4439.3,4968.49,30,0.06,0,0,1,0,76,77,292
2023-01-02 13:00:00,P0190,Books,888.86,840.67,243,0.486,0,0,1,0,119,118,455
2023-01-02 14:00:00,P0175,Books,2392.41,2066.94,34,0.068,0,0,1,0,92,91,347
2023-01-02 15:00:00,P0190,Electronics,4857.92,4671.6,246,0.492,0,0,1,0,74,70,303
2023-01-02 16:00:00,P0051,Furniture,1893.21,1935.1,413,0.826,0,0,1,0,87,93,330
2023-01-02 17:00:00,P0108,Clothing,1889.29,1533.79,17,0.034,0,0,1,0,120,119,522
2023-01-02 18:00:00,P0055,Furniture,1015.4,1067.24,466,0.932,0,0,1,0,79,72,306
2023-01-02 19:00:00,P0064,Furniture,615.9,590.06,424,0.848,0,0,1,0,111,113,448
2023-01-02 20:00:00,P0131,Furniture,3714.51,2986.06,23,0.046,0,0,1,1,80,82,314
2023-01-02 21:00:00,P0051,Electronics,3861.65,4130.25,497,0.994,0,0,1,0,75,64,328
2023-01-02 22:00:00,P0135,Electronics,4846.61,5258.35,341,0.682,0,0,1,0,75,68,295
2023-01-02 23:00:00,P0021,Clothing,3878.42,4078.3,303,0.606,0,0,1,0,72,66,292
2023-01-03 00:00:00,P0073,Furniture,1254.59,1175.26,397,0.794,1,0,1,0,83,77,349
2023-01-03 01:00:00,P0167,Electronics,248.58,251.52,402,0.804,1,0,1,0,90,83,336
2023-01-03 02:00:00,P0018,Clothing,4927.92,4705.49,315,0.63,1,0,1,0,60,56,218
2023-01-03 03:00:00,P0132,Clothing,1735.23,1874.48,348,0.696,1,0,1,1,69,64,274
2023-01-03 04:00:00,P0089,Furniture,1594.26,1647.56,277,0.554,1,0,1,0,93,104,376
2023-01-03 05:00:00,P0060,Groceries,4534.48,3775.95,29,0.058,1,0,1,0,81,77,310
2023-01-03 06:00:00,P0014,Furniture,2946.24,3114.88,142,0.284,1,0,1,0,90,86,357
2023-01-03 07:00:00,P0009,Groceries,1113.61,1197.01,276,0.552,1,0,1,0,96,89,393
2023-01-03 08:00:00,P0090,Clothing,4451.03,4220.83,409,0.818,1,0,1,0,61,70,267
2023-01-03 09:00:00,P0053,Electronics,4967.14,5713.77,355,0.71,1,0,1,0,60,61,245
2023-01-03 10:00:00,P0130,Books,479.06,544.79,11,0.022,1,0,1,0,118,122,467
2023-01-03 11:00:00,P0084,Clothing,4318.15,3757.08,390,0.78,1,0,1,0,74,79,268
2023-01-03 12:00:00,P0092,Electronics,1983.05,2303.72,202,0.404,1,0,1,0,80,76,308
2023-01-03 13:00:00,P0111,Clothing,2644.16,2581.62,249,0.498,1,0,1,1,88,100,342
2023-01-03 14:00:00,P0188,Furniture,4578.34,4988.1,102,0.204,1,0,1,0,75,67,299
2023-01-03 15:00:00,P0199,Groceries,4868.23,5479.87,467,0.934,1,0,1,0,56,55,237
2023-01-03 16:00:00,P0172,Clothing,1347.71,1350.47,34,0.068,1,0,1,0,112,100,473
2023-01-03 17:00:00,P0008,Electronics,1103.61,1059.07,323,0.646,1,0,1,0,107,116,458
2023-01-03 18:00:00,P0175,Furniture,448.56,523.1,385,0.77,1,0,1,0,95,84,364
2023-01-03 19:00:00,P0035,Books,2830.9,2526.13,19,0.038,1,0,1,0,84,85,326
2023-01-03 20:00:00,P0081,Furniture,117.34,105.93,46,0.092,1,0,1,0,142,125,528
2023-01-03 21:00:00,P0164,Groceries,2088.9,1973.28,83,0.166,1,0,1,0,105,104,450
2023-01-03 22:00:00,P0050,Furniture,413.25,472.67,267,0.534,1,0,1,0,108,101,445
2023-01-03 23:00:00,P0104,Books,2055.87,2416.71,52,0.104,1,0,1,0,92,103,337
2023-01-04 00:00:00,P0132,Electronics,247.66,219.93,272,0.544,2,0,1,0,99,86,380
2023-01-04 01:00:00,P0002,Clothing,4184.33,4793.35,17,0.034,2,0,1,0,84,88,313
2023-01-04 02:00:00,P0134,Groceries,1088.21,982.96,103,0.206,2,0,1,1,97,103,424
2023-01-04 03:00:00,P0054,Books,1675.13,1990.48,151,0.302,2,0,1,1,90,101,347
2023-01-04 04:00:00,P0106,Groceries,4356.74,4526.49,327,0.654,2,0,1,0,69,77,276
2023-01-04 05:00:00,P0004,Furniture,3744.02,3005.83,164,0.328,2,0,1,0,85,97,328
2023-01-04 06:00:00,P0054,Groceries,1134.24,922.88,360,0.72,2,0,1,0,113,105,450
2023-01-04 07:00:00,P0191,Books,405.9,348.67,413,0.826,2,0,1,0,103,96,453
2023-01-04 08:00:00,P0146,Clothing,3592.59,3143.62,83,0.166,2,0,1,0,76,74,291
2023-01-04 09:00:00,P0044,Clothing,1983.98,2196.36,307,0.614,2,0,1,0,88,89,337
2023-01-04 10:00:00,P0162,Groceries,3842.1,3416.04,150,0.3,2,0,1,0,89,85,347
2023-01-04 11:00:00,P0190,Electronics,2254.21,2677.23,36,0.072,2,0,1,0,109,117,407
2023-01-04 12:00:00,P0014,Groceries,1762.71,1858.68,378,0.756,2,0,1,0,101,86,423
2023-01-04 13:00:00,P0095,Furniture,2283.47,2459.31,457,0.914,2,0,1,0,92,79,359
